spec,pair_group,basis,unit_scope,item_scope,farmgate_scope,country,t,geo_rung,item,n_countries,n_cells,n_items,n_geos,median_gap,ratio,iqr_gap,share_abs_gap_gt_log1p5,share_exact_ties,claim_30_50,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,n_geo_singleton,n_eff_cells,loo_min,loo_max,loo_worst_item
farmgate_by_class,market_vs_crop_sale,native,sized,pulses & oilseeds,all,POOLED,,,,6.0,178,25,126.0,0.4377343686769499,1.5491933384829666,0.4817307879603604,0.5730337078651685,0.028089887640449437,False,1.981179810913542,0.025984108875360318,1.2385623620567285,1.0232767228705235,0.6932456021499451,0.6069608177855726,102.0,76.0,0.26199581005998884,1.3657352063799681,Tanzania|Coconuts
farmgate_by_class,market_vs_crop_sale,native,sized,pulses & oilseeds,same_good,POOLED,,,,6.0,160,21,112.0,0.4247625177809468,1.529227212265631,0.4369809766732063,0.55625,0.03125,False,1.9811768754192598,0.025995495816242584,1.0588182664598231,0.8679628378623725,0.6596959512144694,0.6069605373707204,90.0,70.0,0.3387639020598203,1.1945683306022112,Tanzania|Pulses
farmgate_by_class,market_vs_crop_sale,native,sized,roots & tubers,all,POOLED,,,,5.0,48,14,30.0,0.6770125502755524,1.9679896712654301,0.7516707496575168,0.7708333333333334,0.020833333333333332,False,1.3685036317114843,0.5439108092182212,0.5395027070444792,0.4850297156775638,0.7568588619690222,1.8141014528611958,20.0,28.0,0.4791685557725894,0.7441110870698383,Mali|Igname
farmgate_by_class,market_vs_crop_sale,native,sized,roots & tubers,same_good,POOLED,,,,5.0,45,13,28.0,0.6608779199911594,1.9364916731037078,0.9006920913011316,0.7555555555555555,0.022222222222222223,False,1.3685036317114843,0.5439108092182211,0.5656623081859795,0.49143073540867444,0.75648005304573,1.8141014528611954,19.0,26.0,0.5064322899072156,0.7876431978582821,Mali|Patate douce
farmgate_by_class,market_vs_crop_sale,native,sized,staple grains & flours,all,POOLED,,,,5.0,269,13,194.0,0.4054651081081646,1.5000000000000002,0.849725075572564,0.5576208178438662,0.03345724907063197,False,-0.20853074506285035,0.13596226566116026,0.04112471062649893,0.12789430388782858,0.9852361538212302,0.6170798939882609,144.0,125.0,-0.1402172044861036,0.2574158298841081,Nigeria|Rice--local
farmgate_by_class,market_vs_crop_sale,native,sized,staple grains & flours,same_good,POOLED,,,,5.0,154,9,114.0,0.22722765614413376,1.2551155701892607,0.41431181000710404,0.34415584415584416,0.03896103896103896,False,-1.4374279599866235,0.5110513633242183,0.09426656870046073,0.06447752588480099,0.986806839226089,1.0257196265110373,86.0,68.0,-0.016683125512287084,0.1356537726598309,Tanzania|Millet & Sorghum (grain)
farmgate_pooled,market_vs_own_consumption,native,sized,all,all,POOLED,,,,2.0,552,51,221.0,0.1256317052378239,1.1338644950197754,0.2954512243539775,0.29528985507246375,0.19202898550724637,False,0.2232605344411691,0.0863484608297072,0.09016858562125028,0.06369223506489922,0.7996807891302684,0.5734817761931089,113.0,439.0,,,
farmgate_pooled,market_vs_own_consumption,native,all,all,all,POOLED,,,,2.0,1913,91,338.0,0.0,1.0,0.2876820724517808,0.30162049137480396,0.35703084161003656,False,0.0928596061249799,0.02195588725351954,0.015550330877456574,0.014953197321483343,0.5585266890534364,0.5017198121602567,167.0,1746.0,,,
farmgate_pooled,market_vs_own_consumption,native,sized,all,same_good,POOLED,,,,2.0,330,36,175.0,0.1256317052378239,1.1338644950197754,0.45425524815190665,0.4090909090909091,0.1606060606060606,False,0.2397333780400422,0.1562618833618943,0.16131225993702375,0.13066443316180487,0.8074442135243135,0.8588167173747279,103.0,227.0,-0.0318307625994369,0.27148698525076054,GhanaLSS|Pepper
farmgate_pooled,market_vs_own_consumption,native,sized,all,processed,POOLED,,,,2.0,218,13,119.0,0.1327570827708779,1.1419725598249957,0.25840087550143664,0.12385321100917432,0.23394495412844038,False,0.15431180393313862,0.05432660627189269,0.012406671213974992,0.0416087920760276,0.8576729767085127,0.28715012162880016,77.0,141.0,,,
