country,u,kg_per_unit
Ethiopia,ml,0.001
Ethiopia,cl,0.01
Ethiopia,millilitre,0.001
Ethiopia,milliliter,0.001
Ethiopia,millilitres,0.001
Ethiopia,milliliters,0.001
Ethiopia,mili liter,0.001
Ethiopia,pound,0.453592
Ethiopia,lbs,0.453592
Ethiopia,araba,0.75
Ethiopia,birchiko large,0.6
Ethiopia,birchiko medium,0.3409090909090909
Ethiopia,birchiko small,0.2037037037037037
Ethiopia,box,0.8275862068965517
Ethiopia,box/casa,12.842105263157894
Ethiopia,bunch large,0.625
Ethiopia,bunch medium,0.45
Ethiopia,bunch small,0.5454545454545454
Ethiopia,chinet small,4.285714285714286
Ethiopia,cm,0.375
Ethiopia,cubic centimeter,0.0010294117647058824
Ethiopia,cup,0.21428571428571427
Ethiopia,esir large,0.3448275862068966
Ethiopia,esir medium,0.3125
Ethiopia,esir small,0.26751635768811344
Ethiopia,festal large,0.9307359307359307
Ethiopia,festal medium,0.8035714285714286
Ethiopia,festal small,0.6
Ethiopia,jenbe,1.9049999999999998
Ethiopia,jog,0.6666666666666666
Ethiopia,joniya/kasha small,1.5
Ethiopia,kerchat/kemba large,0.8214285714285714
Ethiopia,kerchat/kemba medium,2.066666666666667
Ethiopia,kerchat/kemba small,1.145104895104895
Ethiopia,kubaya/cup large,0.5
Ethiopia,kubaya/cup medium,0.4166666666666667
Ethiopia,kubaya/cup small,0.35
Ethiopia,kunna/mishe/kefer/enkib large,2.5714285714285716
Ethiopia,kunna/mishe/kefer/enkib medium,1.5
Ethiopia,kunna/mishe/kefer/enkib small,1.5692307692307694
Ethiopia,madaberia/nuse/shera/cheret medium,0.4166666666666667
Ethiopia,madaberia/nuse/shera/cheret small,24.0
Ethiopia,medeb large,0.4
Ethiopia,medeb medium,0.3333333333333333
Ethiopia,medeb small,0.2391304347826087
Ethiopia,melekia,0.17857142857142858
Ethiopia,melekiya,0.1867732558139535
Ethiopia,number,0.1466666666666667
Ethiopia,other (specify),0.4166666666666667
